,epoch,loss,accuracy,recall,precision,f1
0,0,0.48,0.77,[0.92 0.48],[0.79 0.66],[0.84 0.53]
1,1,0.36,0.84,[0.91 0.72],[0.87 0.8 ],[0.88 0.74]
2,2,0.24,0.91,[0.94 0.83],[0.92 0.88],[0.93 0.85]
3,3,0.13,0.95,[0.97 0.92],[0.96 0.94],[0.96 0.92]
4,4,0.07,0.98,[0.98 0.96],[0.98 0.97],[0.98 0.96]
5,5,0.05,0.98,[0.99 0.98],[0.99 0.97],[0.99 0.97]
6,6,0.03,0.99,[0.99 0.98],[0.99 0.98],[0.99 0.98]
7,7,0.03,0.99,[0.99 0.98],[0.99 0.98],[0.99 0.98]
8,8,0.03,0.99,[0.99 0.98],[0.99 0.99],[0.99 0.98]
9,9,0.02,0.99,[0.99 0.99],[1.   0.99],[1.   0.99]
