,epoch,loss,accuracy,recall,precision,f1
0,0,0.54,0.74,[0.89 0.42],[0.76 0.64],[0.81 0.48]
1,1,0.46,0.79,[0.9  0.55],[0.81 0.74],[0.85 0.61]
2,2,0.4,0.82,[0.92 0.63],[0.84 0.79],[0.87 0.68]
3,3,0.34,0.87,[0.94 0.71],[0.87 0.86],[0.9  0.77]
4,4,0.27,0.9,[0.96 0.79],[0.91 0.9 ],[0.93 0.83]
5,5,0.21,0.93,[0.97 0.86],[0.93 0.93],[0.95 0.89]
6,6,0.17,0.94,[0.97 0.88],[0.94 0.94],[0.96 0.91]
7,7,0.16,0.94,[0.97 0.89],[0.95 0.94],[0.96 0.91]
8,8,0.17,0.93,[0.96 0.87],[0.94 0.94],[0.95 0.89]
9,9,0.18,0.93,[0.96 0.87],[0.94 0.93],[0.95 0.88]
10,10,0.23,0.91,[0.95 0.84],[0.93 0.91],[0.93 0.84]
11,11,0.18,0.93,[0.96 0.87],[0.94 0.93],[0.95 0.88]
