,epoch,loss,accuracy,recall,precision,f1
0,0,0.55,0.73,[0.9  0.38],[0.76 0.46],[0.81 0.39]
1,1,0.48,0.77,[0.88 0.54],[0.8  0.69],[0.83 0.59]
2,2,0.47,0.77,[0.88 0.55],[0.8 0.7],[0.84 0.6 ]
3,3,0.46,0.78,[0.89 0.56],[0.81 0.71],[0.84 0.61]
4,4,0.45,0.79,[0.89 0.58],[0.81 0.72],[0.85 0.62]
5,5,0.45,0.79,[0.9  0.58],[0.82 0.73],[0.85 0.63]
6,6,0.44,0.8,[0.9  0.59],[0.82 0.74],[0.85 0.64]
7,7,0.43,0.8,[0.9  0.61],[0.83 0.75],[0.86 0.65]
8,8,0.42,0.81,[0.91 0.62],[0.83 0.76],[0.86 0.67]
9,9,0.41,0.82,[0.91 0.64],[0.84 0.77],[0.87 0.68]
