,epoch,loss,accuracy,recall,precision,f1
0,0,0.56,0.7,[0.92 0.27],[0.73 0.3 ],[0.8  0.28]
1,1,0.5,0.76,[0.86 0.56],[0.8  0.66],[0.83 0.59]
2,2,0.48,0.77,[0.87 0.57],[0.81 0.69],[0.83 0.6 ]
3,3,0.47,0.78,[0.88 0.57],[0.81 0.7 ],[0.84 0.61]
4,4,0.46,0.78,[0.88 0.57],[0.81 0.71],[0.84 0.62]
5,5,0.46,0.78,[0.89 0.57],[0.81 0.71],[0.84 0.62]
6,6,0.45,0.79,[0.89 0.58],[0.82 0.72],[0.85 0.63]
7,7,0.44,0.79,[0.9  0.59],[0.82 0.73],[0.85 0.63]
8,8,0.44,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
9,9,0.43,0.8,[0.9 0.6],[0.82 0.75],[0.86 0.65]
